"ncid","race_code","ethnic_code","party_cd","gender_code","birth_age","drivers_lic","register_dt","2008 GENERAL","2010 GENERAL","2012 GENERAL","2014 GENERAL","2016 GENERAL"
"DY36327","B","NL","DEM","F",49,"Y",2010,0,1,0,0,1
"EN4625","W","NL","UNA","F",69,"N",1980,1,0,1,0,1
"EH1028245","A","UN","DEM","F",21,"Y",2014,0,0,0,1,1
"CW1130336","B","NL","UNA","M",18,"Y",2016,0,0,0,0,1
"EM75714","B","UN","DEM","F",32,"Y",2004,0,0,0,0,0
"DD169471","W","NL","REP","M",38,"Y",2015,0,0,0,0,0
"CW113453","W","NL","UNA","F",53,"Y",1982,1,1,1,1,1
"CZ76353","W","NL","UNA","M",26,"Y",2008,1,0,0,1,1
"BR165514","B","UN","DEM","M",58,"Y",2008,1,1,1,1,1
"AN117412","W","UN","REP","F",49,"Y",2016,1,0,1,0,0
"AL183609","W","NL","DEM","M",41,"Y",2004,1,0,1,1,1
"BL344186","W","NL","REP","F",34,"Y",2011,1,0,1,1,1
"AB32291","W","NL","UNA","M",31,"Y",2012,1,1,0,1,1
"DZ68119","W","UN","DEM","M",20,"Y",2014,0,0,0,1,0
"BN326734","B","NL","DEM","F",30,"Y",2010,1,0,1,1,1
"BR122275","W","NL","REP","F",43,"Y",2011,1,1,1,0,1
"AW196335","W","UN","REP","M",22,"N",2013,0,0,0,0,0
"CW832872","U","UN","DEM","F",37,"Y",2008,1,1,1,0,1
"DL170358","W","NL","UNA","F",32,"Y",2013,1,0,1,0,1
"EH1065197","W","NL","UNA","F",25,"Y",2016,0,0,0,0,1
"AK105456","W","NL","DEM","F",68,"Y",2009,0,1,1,1,1
"EH263947","W","NL","REP","F",60,"N",1995,0,0,0,0,0
"DL182535","O","HL","UNA","M",34,"Y",2006,0,0,0,0,0
"BR98807","W","NL","REP","F",38,"Y",1998,0,0,0,0,0
"DY31440","W","NL","REP","M",29,"Y",2006,1,0,1,0,1
"CA105993","B","UN","DEM","F",44,"Y",2012,0,0,1,1,1
"EH841083","W","NL","REP","F",32,"Y",2009,0,0,1,0,0
"CW507792","W","NL","DEM","M",34,"Y",2000,1,0,1,1,1
"BM37459","B","UN","DEM","F",40,"Y",2016,1,1,1,1,1
"BY591162","W","UN","REP","M",25,"Y",2012,0,0,1,0,0
"CC99387","W","UN","UNA","M",71,"Y",2004,1,0,1,1,1
"DL249142","W","NL","UNA","M",37,"Y",2016,0,0,0,0,1
"EH31247","W","NL","REP","M",80,"Y",1960,1,1,1,1,1
"AA176879","W","UN","REP","F",26,"Y",2012,0,0,0,0,1
"EH458733","W","NL","UNA","F",51,"N",2000,1,0,1,1,1
"EH112495","W","NL","UNA","F",65,"Y",2016,1,1,1,0,1
"CA7255","W","NL","DEM","F",80,"Y",1966,1,1,1,1,1
"DB179591","W","NL","DEM","F",30,"Y",2015,0,0,0,0,0
"BN431075","B","NL","DEM","F",49,"Y",2012,0,0,1,1,1
"DW50305","W","NL","REP","F",49,"Y",2004,1,1,1,1,1
"BE28280","B","NL","DEM","M",43,"N",1993,1,1,0,0,0
"BC59943","W","NL","UNA","M",38,"Y",2012,0,0,1,0,1
"BE261807","W","NL","REP","F",30,"Y",2012,1,0,1,1,0
"DH21792","W","NL","REP","M",48,"Y",2008,1,1,1,1,1
"BN369204","W","NL","UNA","F",29,"Y",2007,1,0,0,0,0
"AW159928","W","NL","REP","F",53,"Y",2005,1,0,1,1,1
"BC51484","B","UN","DEM","F",33,"Y",2016,1,0,1,0,1
"AS2114","W","NL","DEM","F",68,"N",1969,1,1,1,1,1
"BY505753","W","NL","DEM","F",27,"Y",2008,1,0,1,1,1
"BL42227","W","NL","DEM","F",63,"Y",1972,1,1,1,1,1
"AN89112","W","NL","REP","M",38,"Y",1999,1,1,1,0,1
"CJ123383","W","NL","REP","F",35,"Y",2007,0,0,0,0,0
"DB133692","W","NL","UNA","F",42,"Y",1992,1,0,1,0,1
"EH1095307","W","NL","UNA","M",25,"Y",2016,0,0,0,0,1
"AE29817","W","NL","DEM","F",63,"N",2011,0,0,1,1,1
"CA77459","B","NL","DEM","F",39,"Y",2012,1,0,1,0,1
"AL19607","W","NL","UNA","F",67,"Y",1971,1,1,1,0,1
"EF65489","W","NL","REP","M",45,"Y",2007,0,0,0,0,0
"DL37662","W","NL","UNA","M",68,"Y",1974,1,1,1,1,1
"CM55629","B","UN","DEM","F",40,"Y",2016,1,1,1,0,1
"DE237594","W","NL","UNA","M",27,"Y",2007,0,0,0,0,0
"EM33286","W","NL","REP","F",49,"Y",1996,1,0,1,1,1
"EH53018","W","NL","DEM","M",84,"Y",1976,1,1,1,1,1
"AT20899","B","UN","DEM","F",30,"Y",2016,1,1,1,1,1
"DL237077","B","NL","DEM","M",68,"Y",2013,0,0,0,0,0
"AJ24643","W","NL","REP","F",50,"Y",1999,1,1,1,1,1
"BY471300","B","UN","DEM","M",51,"Y",2005,1,0,1,0,1
"BN347930","B","NL","DEM","F",30,"Y",2005,1,0,1,0,1
"DS13780","W","NL","UNA","M",58,"Y",1984,1,1,1,1,1
"BD106609","W","NL","REP","F",69,"Y",2007,1,1,0,0,1
"CW112804","W","NL","UNA","M",55,"Y",1984,1,0,1,0,1
"BZ37929","B","NL","DEM","F",33,"Y",2002,1,1,1,0,1
